Asset_A,Asset_B,Asset_C,Asset_D,target_return,sigma
0.9999999939908127,8.606306683790974e-09,-1.5886325213815126e-09,-1.0084869458928038e-09,0.00037989909795412816,0.0008088793528918222
0.8713382166529988,0.09807722826723769,0.027915385257664776,0.0026691698221025964,0.0003855064063781442,0.0007529644459503598
0.7418415088160485,0.19072531646328586,0.065116395888271,0.002316778832395591,0.00039111371480216034,0.0007084574683164984
0.6352791333066216,0.25004323672060685,0.10907472977055607,0.005602900202215139,0.0003967210232261764,0.0006775267167897595
0.5451604756771887,0.28003903689666015,0.16566209417004732,0.009138393256104386,0.0004023283316501925,0.000655276967467218
0.5235470380385417,0.16369870342273163,0.30955787459911493,0.003196383939612065,0.0004079356400742086,0.0006420051429383412
0.5183401643215965,0.21279186578910528,0.18668656817048057,0.08218140171881766,0.0004135429484982247,0.0006183083141711993
0.4877730484891846,0.20370983566428624,0.1927068316692084,0.11581028417732067,0.0004191502569222408,0.0006060028732238192
0.45804522600570735,0.19589763685443762,0.1954020053792849,0.15065513176057016,0.0004247575653462569,0.0005973686431491048
0.42721204493855935,0.18944837796843245,0.1981208539467205,0.1852187231462877,0.00043036487377027296,0.0005925672933508535
0.3958630122572856,0.18361278323378308,0.20088288835215523,0.21964131615677612,0.0004359721821942891,0.0005916790885040282
0.3645582618781063,0.17773836976281882,0.2036213271414486,0.25408204121762634,0.00044157949061830515,0.0005947142737577206
0.3331027716610041,0.1720032816910117,0.20642977848470354,0.28846416816328063,0.00044718679904232127,0.0006016151867864627
0.3015411951284892,0.16639126478545913,0.20925160329412837,0.3228159367919234,0.00045279410746633733,0.0006122506753425909
0.27010781295323727,0.16062795133630528,0.2120609665647905,0.35720326914566697,0.00045840141589035345,0.0006264284092329088
0.23877081452210325,0.15474721049663195,0.2148662326910518,0.39161574229021306,0.0004640087243143695,0.0006439148956256288
0.20752160158143024,0.1487629112554911,0.2176628977579396,0.4260525894051391,0.00046961603273838564,0.000664449227429521
0.17637515360426226,0.1426701111490044,0.22043122953346972,0.4605235057132636,0.0004752233411624017,0.000687758620397944
0.1454000874363548,0.13642091384423782,0.22311708131942953,0.4950619173999779,0.0004808306495864178,0.0007135712168033268
0.11485966251961727,0.12980522441697437,0.2255504970112528,0.5297846160521554,0.0004864379580104339,0.0007416257027285531
0.08585152463706909,0.12184442642921889,0.22717013219168394,0.5651339167420282,0.00049204526643445,0.0007716808268444081
0.07091785680178148,0.10119049195614084,0.2217999135062667,0.6060917377358112,0.0004976525748584661,0.0008037185839745978
0.05318292860110861,0.09829231782259751,0.19596757625569156,0.6525571773206028,0.0005032598832824821,0.0008378587627838191
0.03831635321829153,0.08227921803959601,0.1838178923225298,0.6955865364195823,0.0005088671917064982,0.0008736511618391531
0.024791920269962894,0.06608352858259094,0.16952678278991878,0.7395977683575274,0.0005144745001305144,0.000911140926107153
0.012585417962043672,0.04987409313113626,0.1528953241618652,0.784645164744955,0.0005200818085545304,0.0009502566806262276
0.007626219596946709,0.037839745550195945,0.1172948126778994,0.8372392221749579,0.0005256891169785465,0.0009925260434360428
0.0054180062199666095,0.02532756335656757,0.07745366085001712,0.8918007695734258,0.0005312964254025627,0.0010373173670483534
0.0027208050639499826,0.012431564337849879,0.039038914152767265,0.9458087164454289,0.0005369037338265787,0.0010837495451980032
-3.982849167734968e-10,-9.740289439420049e-11,8.529941207326543e-10,0.9999999996426938,0.0005425110422505948,0.001131821075764524
